item1,item2,item3,item4,item5,item6,item7
Chips,Coke,Eggs,Diaper,Bread,,
Bread,Coke,,,,,
Eggs,Milk,Butter,Coke,,,
Chips,Butter,Beer,Coke,Bread,Eggs,
Diaper,Coke,Beer,Eggs,Bread,,
Eggs,Diaper,Bread,Butter,,,
Coke,Chips,Bread,Beer,,,
Eggs,Coke,Beer,Bread,Milk,,
Chips,Milk,Bread,Butter,,,
Milk,Beer,Eggs,Chips,Diaper,,
Butter,Bread,Diaper,Coke,Chips,,
Bread,Chips,Butter,,,,
Diaper,Coke,,,,,
Bread,Beer,,,,,
Milk,Coke,Butter,Diaper,Bread,Beer,
Eggs,Coke,Milk,Bread,,,
Coke,Beer,Chips,Diaper,,,
Beer,Chips,Milk,Eggs,Coke,Diaper,
Beer,Coke,Butter,Bread,Eggs,,
Chips,Butter,,,,,
Chips,Bread,Beer,Milk,Diaper,,
Butter,Eggs,Diaper,Bread,,,
Coke,Milk,Chips,Butter,,,
Diaper,Butter,Chips,Eggs,,,
Beer,Coke,Bread,Butter,Eggs,Chips,
Coke,Bread,Eggs,Milk,,,
Coke,Chips,,,,,
Coke,Milk,Eggs,Bread,Beer,Chips,
Milk,Diaper,Eggs,Butter,Coke,Bread,
Milk,Chips,Butter,Eggs,Beer,,
Chips,Eggs,Diaper,Bread,,,
Butter,Bread,Diaper,Coke,,,
Eggs,Butter,Diaper,Milk,Beer,Bread,
Milk,Beer,,,,,
Beer,Coke,Milk,,,,
Milk,Butter,Coke,Bread,,,
Beer,Coke,Chips,Milk,,,
Butter,Eggs,Coke,Bread,Beer,,
Butter,Milk,Beer,,,,
Bread,Butter,Beer,Milk,Chips,,
Diaper,Chips,Eggs,,,,
Coke,Butter,Beer,Diaper,,,
Butter,Coke,Milk,Bread,,,
Milk,Coke,Diaper,Chips,,,
Chips,Diaper,Milk,,,,
Beer,Bread,Chips,Coke,Milk,,
Eggs,Beer,Butter,,,,
Beer,Coke,Bread,Milk,Eggs,Butter,
Beer,Eggs,Butter,,,,
Beer,Coke,,,,,
Coke,Butter,,,,,
Chips,Beer,,,,,
Milk,Bread,Coke,Eggs,Diaper,,
Beer,Milk,,,,,
Coke,Beer,Butter,Milk,Eggs,Chips,
Beer,Eggs,,,,,
Coke,Chips,Bread,Diaper,Milk,Eggs,
Beer,Coke,Milk,Chips,Diaper,,
Beer,Bread,Coke,Butter,,,
Butter,Diaper,Milk,,,,
Milk,Coke,Chips,Butter,Diaper,Bread,
Coke,Diaper,Beer,Milk,,,
Eggs,Coke,Chips,Diaper,,,
